targetName,targetDomain,targetDefinition,conceptId,conceptName,vocabularyId,domainId,conceptClassId,status,goldStandard,notes
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",1447826,Intraoperative fluoroscopic cholangiography by direct puncture with contrast,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",2109455,"Laparoscopy, surgical; with insertion of tunneled intraperitoneal catheter",CPT4,Procedure,CPT4,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",2110621,Placement of catheter and injection of therapeutic substance into cervical subarachnoid space (Deprecated),CPT4,Procedure,CPT4,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",37111603,Prophylactic bilateral mastectomy,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",37156340,Insertion of peritoneal dialysis catheter,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",37167794,Simple mastectomy of right breast and prophylactic mastectomy of left breast,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",37312057,Corticosteroid and/or corticosteroid derivative therapy,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4023551,Open biopsy of uterine ligament,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4024589,Direct intraperitoneal insemination,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4064007,Therapeutic lumbar epidural injection,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4070833,Open destruction of lesion of peritoneum,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4077050,Administration of prophylactic antibiotic for icteric leptospirosis,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4107824,Harvest of omentum,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4124887,Interferential to lower limb,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
